城市名称,总人口,面积,人口密度
梅州,3873239,15864.51,244.1449
梧州,2820977,12571.0,224.4035
武威,1464955,32400.0,45.2147
武汉,12447718,8575.0,1451.6289
毕节,6899636,26844.0,257.0271
永州,5289824,22302.0,237.1906
汕头,5502031,2248.39,2447.0981
汕尾,2738482,4861.79,563.2662
江门,4798090,9540.6,502.9128
沈阳,9070093,12870.0,704.7469
沧州,7300783,14069.0,518.9269
河池,3417945,33506.0,102.0099
河源,2837686,15653.63,181.2797
泉州,8782285,11033.0,796.0015
泰安,5472217,7736.0,707.3703
泰州,4512762,5799.0,778.1966
泸州,4254149,11155.0,381.367
洛阳,7056699,15235.0,463.19
济南,9202432,10219.0,900.5218
济宁,8357897,11114.0,752.0152
济源,727265,1894.0,383.9836
海口,2873358,2240.2,1282.6346
淄博,4704138,5965.0,788.6233
淮北,1970265,2743.9,718.0528
淮南,3033528,5529.8,548.5782
淮安,4556230,9971.0,456.9481
深圳,17494398,1991.64,8783.9158
清远,3969473,19152.9,207.2518
温州,9572903,11554.0,828.5358
湖州,3367579,5827.0,577.9267
湘潭,2726181,5014.0,543.7138
湘西,2488105,15486.0,160.668
湛江,6981236,13225.44,527.8642
滁州,3987054,13515.0,295.0095
滨州,3928568,9069.0,433.1865
漯河,2367490,2694.0,878.801
漳州,5054328,12697.0,398.0726
潍坊,9386705,15956.0,588.2869
潜江,886547,1994.2,444.5627
潮州,2568387,3145.93,816.4158
澄迈,497953,2063.5,241.3148
濮阳,3772088,4261.0,885.2589
烟台,7102116,14123.0,502.8759
焦作,3521078,3972.0,886.4748
牡丹江,2290208,39866.0,57.4476
玉林,5796766,12829.0,451.8486
玉溪,2249502,14807.0,151.9215
珠海,2439585,1724.32,1414.8099
琼中,179586,2676.6,67.0948
琼海,528238,1694.1,311.8104
甘孜,1107431,144820.0,7.6469
白城,1551378,25760.0,60.2243
白山,968373,17416.0,55.6025
白沙,164699,2120.3,77.6772
白银,1512110,20100.0,75.2294
百色,3571505,36213.0,98.6249
益阳,3851564,12330.0,312.3734
盘锦,1389691,3825.0,363.3179
眉山,419107,1189.0,352.487
石嘴山,751389,4082.0,184.0737
石家庄,11235086,14072.0,798.4001
石河子,498587,726.3,686.4753
神农架,66571,3239.5,20.5498
福州,8291268,11717.0,707.6272
秦皇岛,3136879,7853.0,399.4498
红河,4478422,32165.0,139.2328
绍兴,5270977,8185.0,643.9801
绥化,3756167,34903.0,107.6173
绵阳,4868243,19439.0,250.4369
聊城,5952128,8643.0,688.6646
肇庆,4113594,14891.23,276.2427
自贡,2489256,4298.0,579.1661
舟山,1157817,1302.0,889.2604
芜湖,3644420,6010.6,606.3321
苏州,12748262,9102.0,1400.6001
茂名,6174050,11424.8,540.4077
荆州,5231180,14094.0,371.1636
莆田,3210714,3917.4,819.6033
莱芜,969632,1731.0,560.1571
菏泽,8795939,12131.0,725.0795
萍乡,1804805,3820.0,472.462
营口,2328582,5502.0,423.2246
葫芦岛,2434194,10582.0,230.0316
蚌埠,3296408,5966.9,552.449
衡水,4212933,8833.0,476.9538
衡阳,6645243,15300.0,434.3296
衢州,2276184,8846.0,257.3122
襄阳,5260951,19721.0,266.769
西双版纳,1301407,19066.0,68.258
西安,242412,362.1,669.4615
许昌,4379998,4977.0,880.0478
贵港,4316262,10600.0,407.1945
贵阳,5987018,8051.0,743.6366
贺州,2007858,11720.0,171.3189
资阳,356405,581.1,613.3282
赣州,8970014,39364.0,227.8735
赤峰,4035967,87032.0,46.3734
辽源,996903,5138.0,194.0255
辽阳,1604580,4710.0,340.6752
达州,5385422,16454.0,327.3017
运城,4774508,14183.0,336.636
连云港,4599360,7560.0,608.381
迪庆,387511,23192.0,16.7088
通化,1812114,15542.0,116.5946
通辽,2873168,58863.0,48.8111
遂宁,2814196,5278.0,533.1936
遵义,6606675,30767.0,214.7325
邢台,7111106,12434.0,571.9082
那曲,504838,353010.0,1.4301
邵阳,6563520,20822.0,315.2204
郑州,12600574,7565.0,1665.641
郴州,4667134,19337.0,241.3577
鄂尔多斯,2153638,87097.0,24.7269
鄂州,1079353,1589.0,679.2656
酒泉,1055706,167680.0,6.296
重庆,32054159,82403.0,388.9926
金华,7050683,10935.0,644.7813
金昌,438026,7575.3,57.8229
钦州,3302238,10903.0,302.8743
铁岭,2388294,12983.0,183.9555
铁门关,104746,1872.0,55.9541
铜仁,3298468,18011.0,183.1363
铜陵,1311726,2982.0,439.8813
银川,2859074,6945.0,411.6737
锡林郭勒盟,1107075,199841.0,5.5398
长沙,10047914,11819.0,850.1493
长治,3180884,13977.0,227.5799
阜新,1647280,10316.0,159.682
阜阳,8200264,10118.0,810.4629
防城港,1046068,6222.0,168.1241
阳江,2602959,7955.27,327.1993
阳泉,1318505,4563.0,288.9557
阿克苏,2714422,125475.0,21.6332
阿勒泰,648173,116840.0,5.5475
阿坝,822587,78730.0,10.4482
阿拉善盟,262361,239254.0,1.0966
阿拉尔,328241,6188.0,53.0448
阿里,123281,334310.0,0.3688
陇南,2407272,27890.0,86.3131
陵水,372511,1092.6,340.94
随州,2047923,9610.0,213.1033
雅安,1434603,13442.0,106.7254
青岛,10071722,11229.0,896.9385
鞍山,3325372,9270.0,358.7
韶关,2855131,18412.53,155.0646
马鞍山,2159930,4053.4,532.8687
驻马店,7008427,15092.0,464.3803
鸡西,1502060,24841.0,60.467
鹤壁,1565973,2141.0,731.4213
鹤岗,891271,15448.0,57.6949
鹰潭,1154223,3560.0,324.2199
黄冈,5882719,17438.0,337.3506
黄山,1330565,9673.4,137.5488
黄石,2469079,4561.0,541.346
黑河,1286401,74415.0,17.2869
黔东南,3758622,30267.0,124.1822
黔南,3494385,26154.0,133.6081
黔西南,3015112,16817.0,179.2895
齐齐哈尔,4067489,42147.0,96.5072
龙岩,2723637,19028.0,143.1384
渭南,4688744,13040,359.6
商洛,2041231,19562,104.3
安康,2493436,23510,106.1
汉中,3211462,27054,118.7
坝上,326353,8731,37.38
延安,2282581,37026,61.65
咸阳,4983340,10324,482.7
三沙,2333,10.00,233.3
青木川,3211462,27054,118.7
武功山,1804805,3820,472.5
楚雄州,2416747,28417,85.05
雄安新区,1205440,1770,681.04
宝鸡,3321853,18109,183.4
长白山,1986339,42229,47.04
榆林,3624750,42943,84.41
铜川,698322,3886,179.7
